question_original,question_clean,answer_original
I missed the delivery of my order today. What should I do?,missed delivery order today,"The courier service delivering your order usually tries to deliver on the next business day in case you miss a delivery.
You can check your SMS for more details on when the courier service will try to deliver again.
 "
Will the delivery be tried again if I'm not able to collect my order the first time?,delivery tried im able collect order first time,Couriers make sure that the delivery is re-attempted the next working day if you can't collect your order the first time.
The delivery of my order is delayed. What should I do?,delivery order delayed,"On the rare occasion that your order is delayed, please check your email & messages for updates. A new delivery timeframe will be shared with you and you can also track its status by visiting My Orders.
 "
What should I do if my order is approved but hasn't been shipped yet?,order approved hasnt shipped yet,Sellers usually ship orders 1-2 business days before the delivery date so that they reach you on time. In case your order hasn't been shipped within this time please contact our Customer Support so that we can look into it.
Can I take the shipment after opening and checking the contents inside?,take shipment opening checking contents inside,"As per company policy, a shipment can't be opened before delivery, but you can accept the shipment and get in touch with us later in case you have any concerns."
How do I know my order has been confirmed?,know order confirmed,An e-mail & SMS will be sent once you've successfully placed your order. We'll also let you know as soon as the seller ships the item(s) to you along with the tracking number(s) for your shipment(s). You can track your orders from the 'My Orders' section on your Flipkart account. \n 
How quickly can I get my order delivered?,quickly get order delivered,Orders will be delivered by the date you see on the product page for your location. 
"My order has reached the nearest delivery hub, but why isn't it out for delivery yet?",order reached nearest delivery hub isnt delivery yet,"The courier service delivering your order are responsible for making sure that your order reaches you within the delivery date. Rest assured, you'll get an SMS once your shipment is out for delivery."
"My order status shows 'Out for Delivery', but I haven't got it yet. When will I get it?",order status shows delivery havent got yet get,The courier service will contact you for delivery of your order. Please check your SMS for more details.
Why can't I track my order even though it has been shipped?,cant track order even though shipped,Courier services usually take upto 24 hours to activate tracking for an order once it's shipped. Please check again after the mentioned time frame.
What should I do if I don't get the invoice for my order?,dont get invoice order,"Sellers send a hard copy of the invoice in the shipments. A soft copy is also emailed to you within 24 hours of delivery in the delivery confirmation email sent to your registered email ID.
You can also visit My Account › My Orders page to get invoices for your orders.
"
How do I get invoices for my previous orders without having to check my e-mails?,get invoices previous orders without check emails,"You can easily send invoices to your email ID from your Flipkart account. To do so, visit My Account › Orders, choose the order for which you'd like the invoice for and click on the 'E-mail Invoice' option."
Should I call Flipkart's Customer Care for installation once my product is delivered?,call flipkarts customer care installation product delivered,"To make sure that you have a smooth and hassle-free experience, the installation is automatically arranged for your product by the seller within 2-5 business after the item is delivered. You will also get an SMS with the exact installation details after delivery."
"Will my product be installed by the brand or Flipkart? If it is installed by Flipkart, will it affect the warranty of the product?",product installed brand flipkart installed flipkart affect warranty product,"Your product will be installed by the brand's authorised service partner. Rest assured, the warranty for the product will not be affected when an item is installed by the authorised partners."
How will my order be delivered?,order delivered,All orders are shipped by sellers through courier services who deliver the packages to your doorstep or the nearest pick-up store if the option is selected.
Why is the 'Cash on Delivery' payment mode not available at my location?,cash delivery payment mode available location,Availability of the 'Cash on Delivery' payment mode depends on the courier services delivering to your location. Please enter your pincode on the product page to check if this payment mode is available at your location. Courier service providers also have limits on the amount you can pay through cash on delivery based on the destination and your order could have exceeded this limit.
Where can I find the seller's returns policy?,find sellers returns policy,You can see the respective seller's Returns policy on the product page.
What does the tag 'Imported' beside a product mean?,tag imported beside product mean,Sometimes items have to be sourced by sellers from their international partners. Such items have the tag 'Imported' on the product page and can take at least 10 or more days to be delivered.
How can I place an order?,place order,"To place an order, please follow these steps:
1. Select the product you'd like to buy and 'Check Availability at' your preferred pincode2. Add products to your cart or just hit 'Buy Now' 3. Choose or 'Add delivery address'. Use a preferred payment mode and confirm the order"
I have a complaint about the courier executive who came to deliver my order.,complaint courier executive came deliver order,You can contact our Customer Support team with the details and we will get in touch with the courier service provider to resolve your complaint.
What should I do if a service centre denied my request to repair the product?,service centre denied request repair product,Please contact our Customer Support with the service centre details so that we can look into this.
Can I get my order delivered faster?,get order delivered faster,Your order will get delivered on or before the delivery date promised at the time of placing the order.
How is a 'business day' different from a regular day?,business day different regular day,"Business days are otherwise known as working days of the week. The expected date of delivery is calculated based on business days. Typically, these include Monday through Saturday. Public holidays and Sundays are usually not considered."
